descrizione;descrizione_bis
Filetto Intero Suino;Filetto Intero Suino
Filetto Irlandese B.A.;Filetto Irlandese B.A.
Filetto Piemontese B.A.;Filetto Piemontese B.A.
Filetto A Fette Pollo;Filetto Pollo
Filetto Pollo;Filetto Pollo
Filetto Quaglia;Filetto Quaglia
Filetto Scottona B.A.;Filetto Scottona B.A.
Filetto Struzzo;Filetto Struzzo
Filetto Tacchino;Filetto Tacchino
Filetto Vitello;Filetto Vitello
Fiorentina B.A.;Fiorentina B.A.
Fiorentina Senza Osso B.A.;Fiorentina B.A.
Fiorentina Chianina B.A;Fiorentina Chianina B.A
Fiorentina Chianina B.A.;Fiorentina Chianina B.A.
Fiorentina Danese B.A.;Fiorentina Danese B.A.
Fiorentina Scottona B.A.;Fiorentina Scottona B.A.
Francesine Pollo;Francesine Pollo
Frattaglie Coniglio;Frattaglie Coniglio
Fusi Farciti Pollo;Fusi Farciti Pollo
Fusi Pollo;Fusi Pollo
Fusi Tacchino;Fusi Tacchino
Fusi Tacchino X2;Fusi Tacchino
Galletto In Parti / A Pezzi;Galletto In Parti / A Pezzi
Galletto Intero / Busto;Galletto Intero / Busto
Galletto Intero / Busto Alla Diavola;Galletto Intero / Busto Alla Diavola
Gallina In Parti / A Pezzi;Gallina In Parti / A Pezzi
Busto Gallina;Gallina Intera / Busto
Gallina Intera;Gallina Intera / Busto
Gallo In Parti / A Pezzi;Gallo In Parti / A Pezzi
Gallo In Parti / A Pezzi Ruspante;Gallo In Parti / A Pezzi Ruspante
Gallo Intero / Busto;Gallo Intero / Busto
Gallo Intero / Busto Ruspante;Gallo Intero / Busto Ruspante
Girello A Fette Vitello;Girello A Fette Vitello
Girello A Tranci Vitello;Girello A Tranci Vitello
Girello Intero B.A.;Girello Intero B.A.
Girello Intero Vitello;Girello Intero Vitello
Grigliata Pollo;Grigliata Pollo
Grigliata Suino;Grigliata Suino
Grigliata Tacchino;Grigliata Tacchino
Groppone Pollo;Groppone Pollo
Guance B.A.;Guance B.A.
Hamburger / Medaglioni Equino;Hamburger / Medaglioni Equino 
Hamburger B.A.;Hamburger B.A.
Hamburger Black Angus B.A.;Hamburger Black Angus B.A.
Hamburger Chianina B.A.;Hamburger Chianina B.A.
Hamburger Cinghiale;Hamburger Cinghiale
Hamburger Conditi Vitello;Hamburger Conditi Vitello 
Hamburger Condito B.A.;Hamburger Condito B.A. 
Hamburger Condito Misto (B.A. E Suino);Hamburger Condito Misto (B.A. E Suino)
Hamburger Condito Pollo;Hamburger Condito Pollo 
Hamburger Condito Scottona B.A.;Hamburger Condito Scottona B.A.
Hamburger Condito Suino;Hamburger Condito Suino
Hamburger Condito Tacchino;Hamburger Condito Tacchino 
Hamburger Coniglio;Hamburger Coniglio
Hamburger Danese B.A.;Hamburger Danese B.A.
Hamburger Impanato Pollo;Hamburger Impanato Pollo 
Hamburger Mini B.A.;Hamburger Mini B.A.
Hamburger Mini Chianina B.A.;Hamburger Mini Chianina B.A.
Hamburger Mini Vitello;Hamburger Mini Vitello 
Hamburger Misto (B.A. E Suino);Hamburger Misto (B.A. E Suino) 
